"Cell Type","ids","object_id","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
9,50905,0,0.98247,0.0092245,0.0092245,-0.0050318
9,50906,0,0.9825,0.0090858,0.0090858,-0.0051178
9,50907,0,0.98254,0.0089446,0.0089446,-0.0052049
9,50908,0,0.98257,0.0088009,0.0088009,-0.005293
9,50909,0,0.98261,0.0086548,0.0086548,-0.0053821
9,50910,0,0.98264,0.0085062,0.0085062,-0.0054722
9,50911,0,0.98268,0.008355,0.008355,-0.0055633
9,50912,0,0.98272,0.0082013,0.0082013,-0.0056555
9,50913,0,0.98276,0.008045,0.008045,-0.0057487
9,50914,0,0.9828,0.0078862,0.0078862,-0.0058428
9,50915,0,0.98284,0.0077247,0.0077247,-0.005938
9,50916,0,0.98288,0.0075607,0.0075607,-0.0060341
9,50917,0,0.98292,0.0073939,0.0073939,-0.0061311
9,50918,0,0.98296,0.0072244,0.0072244,-0.006229
9,50919,0,0.983,0.0070522,0.0070522,-0.0063276
9,50920,0,0.98304,0.0068772,0.0068772,-0.0064271
9,50921,0,0.98309,0.0066994,0.0066994,-0.0065272
9,50922,0,0.98313,0.0065187,0.0065187,-0.0066279
9,50923,0,0.98317,0.0063351,0.0063351,-0.0067291
9,50924,0,0.98322,0.0061484,0.0061484,-0.0068307
9,50925,0,0.98326,0.0059588,0.0059588,-0.0069326
9,50926,0,0.98331,0.005766,0.005766,-0.0070346
9,50927,0,0.98335,0.00557,0.00557,-0.0071367
9,50928,0,0.98339,0.0053708,0.0053708,-0.0072387
9,50929,0,0.98344,0.0051681,0.0051681,-0.0073405
9,50930,0,0.98348,0.004962,0.004962,-0.0074417
9,50931,0,0.98353,0.0047524,0.0047524,-0.0075424
9,50932,0,0.98357,0.004539,0.004539,-0.0076422
9,50933,0,0.98362,0.0043218,0.0043218,-0.007741
9,50934,0,0.98366,0.0041007,0.0041007,-0.0078385
9,50935,0,0.9837,0.0038754,0.0038754,-0.0079345
9,50936,0,0.98374,0.0036459,0.0036459,-0.0080287
9,50937,0,0.98379,0.0034118,0.0034118,-0.0081208
9,50938,0,0.98383,0.0031731,0.0031731,-0.0082106
9,50939,0,0.98387,0.0029295,0.0029295,-0.0082978
9,50940,0,0.9839,0.0026807,0.0026807,-0.008382
9,50941,0,0.98394,0.0024265,0.0024265,-0.0084629
9,50942,0,0.98398,0.0021666,0.0021666,-0.0085402
9,50943,0,0.98401,0.0019007,0.0019007,-0.0086136
9,50944,0,0.98404,0.0016284,0.0016284,-0.0086826
9,50945,0,0.98407,0.0013493,0.0013493,-0.0087468
9,50946,0,0.98409,0.0010632,0.0010632,-0.008806
9,50947,0,0.98412,0.00076939,0.00076939,-0.0088597
9,50948,0,0.98414,0.00046758,0.00046758,-0.0089075
9,50949,0,0.98416,0.00015723,0.00015723,-0.0089491
9,50950,0,0.98417,-0.00016221,-0.00016221,-0.008984
9,50951,0,0.98418,-0.00049131,-0.00049131,-0.0090119
9,50952,0,0.98419,-0.00083068,-0.00083068,-0.0090323
9,50953,0,0.9842,-0.001181,-0.001181,-0.0090449
9,50954,0,0.93799,-0.13037,-0.13037,0.30965
9,50955,0,0.94025,-0.13067,-0.13067,0.30432
9,50956,0,0.94253,-0.13088,-0.13088,0.29891
9,50957,0,0.94481,-0.13101,-0.13101,0.29341
9,50958,0,0.94711,-0.13105,-0.13105,0.28784
9,50959,0,0.9494,-0.13099,-0.13099,0.28221
9,50960,0,0.95168,-0.13083,-0.13083,0.27652
9,50961,0,0.95396,-0.13057,-0.13057,0.27078
9,50962,0,0.95623,-0.13021,-0.13021,0.26501
9,50963,0,0.95847,-0.12974,-0.12974,0.2592
9,50964,0,0.96069,-0.12916,-0.12916,0.25337
9,50965,0,0.96289,-0.12848,-0.12848,0.24753
9,50966,0,0.96504,-0.12769,-0.12769,0.24169
9,50967,0,0.96716,-0.12679,-0.12679,0.23586
