"Points:0","Points:1","Points:2","disp:0","disp:1","ids"
0.35202,0.0058325,0,0.01537,0.0038405,340
0.35411,0.003872,0,0.015461,0.003872,341
0.35411,0.005834,0,0.01546,0.003842,342
0.35619,0.0038735,0,0.015551,0.0038735,343
0.35619,0.0058356,0,0.01555,0.0038435,344
0.35827,0.003875,0,0.015641,0.003875,345
0.35827,0.005837,0,0.01564,0.003845,346
0.36035,0.0038765,0,0.015732,0.0038765,347
0.36035,0.0058385,0,0.01573,0.0038465,348
0.36244,0.003878,0,0.015822,0.003878,349
0.36243,0.00584,0,0.01582,0.0038479,350
0.36452,0.0038794,0,0.015912,0.0038794,351
0.36452,0.0058414,0,0.01591,0.0038494,352
0.3666,0.0038809,0,0.016002,0.0038809,353
0.3666,0.0058428,0,0.016001,0.0038508,354
0.36868,0.0038823,0,0.016092,0.0038823,355
0.36868,0.0058442,0,0.016091,0.0038522,356
0.37076,0.0038837,0,0.016183,0.0038837,357
0.37076,0.0058456,0,0.016181,0.0038535,358
0.37285,0.003885,0,0.016273,0.003885,359
0.37285,0.0058469,0,0.016272,0.0038549,360
0.37493,0.0038864,0,0.016364,0.0038864,361
0.37493,0.0058483,0,0.016362,0.0038562,362
0.37701,0.0038877,0,0.016454,0.0038877,363
0.37701,0.0058496,0,0.016453,0.0038576,364
0.37909,0.0038891,0,0.016545,0.0038891,365
0.37909,0.0058509,0,0.016543,0.0038589,366
0.38118,0.0038904,0,0.016635,0.0038904,367
0.38118,0.0058522,0,0.016634,0.0038602,368
0.38326,0.0038917,0,0.016726,0.0038917,369
0.38326,0.0058536,0,0.016725,0.0038615,370
0.38534,0.0038931,0,0.016817,0.0038931,371
0.38534,0.0058549,0,0.016815,0.0038628,372
0.38743,0.0038944,0,0.016907,0.0038944,373
0.38742,0.0058561,0,0.016906,0.0038641,374
0.38951,0.0038957,0,0.016998,0.0038957,375
0.38951,0.0058574,0,0.016997,0.0038654,376
0.39159,0.003897,0,0.017089,0.003897,377
0.39159,0.0058587,0,0.017088,0.0038667,378
0.39367,0.0038983,0,0.01718,0.0038983,379
0.39367,0.00586,0,0.017179,0.003868,380
0.39576,0.0038996,0,0.017271,0.0038996,381
0.39576,0.0058613,0,0.017269,0.0038693,382
0.39784,0.0039009,0,0.017362,0.0039009,383
0.39784,0.0058626,0,0.01736,0.0038705,384
0.39992,0.0039022,0,0.017453,0.0039022,385
0.39992,0.0058639,0,0.017451,0.0038718,386
0.40201,0.0039035,0,0.017544,0.0039035,387
0.402,0.0058652,0,0.017543,0.0038731,388
0.40409,0.0039048,0,0.017635,0.0039048,389
0.40409,0.0058665,0,0.017634,0.0038744,390
0.40617,0.0039061,0,0.017726,0.0039061,391
0.40617,0.0058678,0,0.017725,0.0038757,392
0.40826,0.0039074,0,0.017817,0.0039074,393
0.40825,0.0058691,0,0.017816,0.003877,394
0.41034,0.0039087,0,0.017908,0.0039087,395
0.41034,0.0058704,0,0.017907,0.0038783,396
0.41242,0.0039101,0,0.018,0.0039101,397
0.41242,0.0058717,0,0.017998,0.0038797,398
0.41451,0.0039114,0,0.018091,0.0039114,399
0.4145,0.005873,0,0.01809,0.003881,400
0.41659,0.0039128,0,0.018182,0.0039128,401
0.41659,0.0058744,0,0.018181,0.0038823,402
0.41867,0.0039141,0,0.018274,0.0039141,403
0.41867,0.0058757,0,0.018272,0.0038837,404
0.42076,0.0039155,0,0.018365,0.0039155,405
0.42075,0.0058771,0,0.018364,0.0038851,406
0.42284,0.0039169,0,0.018457,0.0039169,407
0.42284,0.0058785,0,0.018455,0.0038864,408
0.42492,0.0039183,0,0.018548,0.0039183,409
0.42492,0.0058799,0,0.018547,0.0038878,410
0.42701,0.0039197,0,0.01864,0.0039197,411
0.427,0.0058813,0,0.018638,0.0038892,412
0.42909,0.0039212,0,0.018731,0.0039212,413
0.42909,0.0058827,0,0.01873,0.0038907,414
0.43117,0.0039226,0,0.018823,0.0039226,415
0.43117,0.0058841,0,0.018821,0.0038921,416
0.43326,0.0039241,0,0.018914,0.0039241,417
0.43326,0.0058856,0,0.018913,0.0038936,418
0.43534,0.0039256,0,0.019006,0.0039256,419
0.43534,0.0058871,0,0.019004,0.0038951,420
0.43742,0.0039271,0,0.019098,0.0039271,421
0.43742,0.0058886,0,0.019096,0.0038966,422
0.43951,0.0039287,0,0.019189,0.0039287,423
0.43951,0.0058901,0,0.019188,0.0038981,424
0.44159,0.0039302,0,0.019281,0.0039302,425
0.44159,0.0058917,0,0.019279,0.0038996,426
0.44368,0.0039318,0,0.019373,0.0039318,427
0.44367,0.0058932,0,0.019371,0.0039012,428
0.44576,0.0039334,0,0.019465,0.0039334,429
0.44576,0.0058948,0,0.019463,0.0039028,430
0.44784,0.003935,0,0.019556,0.003935,431
