"disp:0","disp:1","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
0.027429,-0.0010704,0.24584,-0.058734,0,1.0001,0.0081595,0.0081595,0.1225
0.027559,-0.0010495,0.25,-0.054491,0,0.99991,0.010672,0.010672,0.11873
0.027354,-0.0011216,0.24583,-0.053675,0,1.0001,0.0083962,0.0083962,0.11711
0.027484,-0.0011011,0.25,-0.049429,0,0.99991,0.01088,0.01088,0.11337
0.02728,-0.0011733,0.24581,-0.048681,0,1,0.0086251,0.0086251,0.11189
0.02741,-0.0011531,0.25,-0.044442,0,0.99991,0.011081,0.011081,0.10811
0.027206,-0.0012255,0.2458,-0.043761,0,1.0001,0.0088482,0.0088482,0.10678
0.027334,-0.0012078,0.25,-0.03933,0,0.99991,0.011271,0.011271,0.1028
0.027129,-0.0012802,0.24579,-0.038719,0,1,0.0090674,0.0090674,0.10162
0.027252,-0.0012676,0.25,-0.033866,0,0.99989,0.011458,0.011458,0.09737
0.027048,-0.0013398,0.24577,-0.033337,0,1,0.0092919,0.0092919,0.09635
0.027169,-0.0013292,0.25,-0.028366,0,0.99988,0.011647,0.011647,0.092042
0.026965,-0.0014012,0.24576,-0.027921,0,1,0.0095192,0.0095192,0.091171
0.02709,-0.0013888,0.25,-0.023165,0,0.99988,0.011823,0.011823,0.08696
0.026886,-0.0014605,0.24574,-0.022793,0,1,0.0097341,0.0097341,0.086224
0.02701,-0.0014506,0.25,-0.017881,0,0.99988,0.011982,0.011982,0.081981
0.026807,-0.0015219,0.24573,-0.017585,0,1,0.0099399,0.0099399,0.081381
0.026926,-0.0015164,0.25,-0.012371,0,0.99986,0.012133,0.012133,0.077027
0.026723,-0.001587,0.24573,-0.012159,0,0.99999,0.010139,0.010139,0.076565
0.018952,-8.3932e-05,0.0046986,-0.24149,0,0.74094,-0.022395,-0.022395,0.034458
0.018772,-8.8413e-05,-0.00044727,-0.24093,0,0.72712,-0.024363,-0.024363,0.032004
0.019132,-8.4452e-05,0.0098455,-0.24152,0,0.7544,-0.020862,-0.020862,0.036842
0.019319,-8.4893e-05,0.015058,-0.24156,0,0.76731,-0.019742,-0.019742,0.03917
